key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,673.500,771.800,98.300,129.500,0,0
a,901.300,1022.100,120.800,51.400,227.800,250.300
j,1073.500,1194.200,120.700,70.700,172.200,172.100
2,1264.900,1462.300,197.400,-39.900,191.400,268.100
4,1422.400,1554.200,131.800,61.000,157.500,91.900
0,1615.200,1741.000,125.800,21.100,192.800,186.800
3,1762.100,1877.000,114.900,85.300,146.900,136.000
2,1962.300,2055.900,93.600,-23.200,200.200,178.900
0,2032.700,2120.100,87.400,80.800,70.400,64.200
0,2200.900,2332.900,132.000,-1.900,168.200,212.800
3,2331.000,2423.600,92.600,38.800,130.100,90.700
.,2462.400,2609.600,147.200,0,131.400,186.000
