key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,674.200,783.200,109.000,122.100,0,0
a,905.300,1025.400,120.100,9.500,231.100,242.200
j,1034.900,1150.800,115.900,98.500,129.600,125.400
2,1249.300,1484.200,234.900,-66.900,214.400,333.400
4,1417.300,1565.900,148.600,43.300,168.000,81.700
0,1609.200,1739.100,129.900,25.900,191.900,173.200
3,1765.000,1883.900,118.900,68.200,155.800,144.800
2,1952.100,2072.800,120.700,-7.600,187.100,188.900
0,2065.200,2148.300,83.100,82.700,113.100,75.500
0,2231.000,2400.000,169.000,253.100,165.800,251.700
3,2653.100,2794.700,141.600,65.100,422.100,394.700
.,2859.800,2984.600,124.800,0,206.700,189.900
