key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,707.200,783.200,76.000,148.200,0,0
a,931.400,1058.200,126.800,-6.800,224.200,275.000
j,1051.400,1170.000,118.600,70.600,120.000,111.800
2,1240.600,1474.600,234.000,-88.000,189.200,304.600
4,1386.600,1545.100,158.500,17.400,146.000,70.500
0,1562.500,1703.000,140.500,16.600,175.900,157.900
3,1719.600,1834.900,115.300,70.000,157.100,131.900
2,1904.900,2025.700,120.800,33.000,185.300,190.800
0,2058.700,2136.400,77.700,80.300,153.800,110.700
0,2216.700,2353.400,136.700,-8.200,158.000,217.000
3,2345.200,2434.500,89.300,9.000,128.500,81.100
.,2443.500,2595.700,152.200,0,98.300,161.200
