key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,692.800,790.600,97.800,145.400,0,0
a,936.000,1055.400,119.400,4.600,243.200,264.800
j,1060.000,1174.900,114.900,142.800,124.000,119.500
2,1317.700,1581.400,263.700,-58.100,257.700,406.500
4,1523.300,1660.100,136.800,109.700,205.600,78.700
0,1769.800,1895.800,126.000,3.600,246.500,235.700
3,1899.400,2020.400,121.000,82.400,129.600,124.600
2,2102.800,2207.300,104.500,15.300,203.400,186.900
0,2222.600,2293.800,71.200,79.800,119.800,86.500
0,2373.600,2501.800,128.200,-24.700,151.000,208.000
3,2477.100,2571.800,94.700,190.000,103.500,70.000
.,2761.800,2896.900,135.100,0,284.700,325.100
