key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,1046.000,1165.600,119.600,131.900,0,0
a,1297.500,1462.700,165.200,-51.300,251.500,297.100
j,1411.400,1548.300,136.900,90.500,113.900,85.600
i,1638.800,1764.600,125.800,525.700,227.400,216.300
Backspace,2290.300,2404.400,114.100,94.000,651.500,639.800
Backspace,2498.400,2571.300,72.900,83.400,208.100,166.900
Backspace,2654.700,2731.400,76.700,58.300,156.300,160.100
Backspace,2789.700,2887.700,98.000,2622.500,135.000,156.300
r,5510.200,5623.000,112.800,147.200,2720.500,2735.300
a,5770.200,5890.500,120.300,23.100,260.000,267.500
j,5913.600,6033.900,120.300,65.700,143.400,143.400
2,6099.600,6246.500,146.900,86.600,186.000,212.600
4,6333.100,6486.300,153.200,71.800,233.500,239.800
0,6558.100,6710.300,152.200,47.500,225.000,224.000
3,6757.800,6884.000,126.200,65.700,199.700,173.700
2,6949.700,7060.200,110.500,-18.400,191.900,176.200
0,7041.800,7102.500,60.700,75.900,92.100,42.300
0,7178.400,7281.900,103.500,10.200,136.600,179.400
3,7292.100,7380.400,88.300,376.800,113.700,98.500
.,7757.200,7872.800,115.600,0,465.100,492.400
