key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,678.500,776.000,97.500,155.800,0,0
a,931.800,1024.200,92.400,23.500,253.300,248.200
j,1047.700,1173.200,125.500,62.300,115.900,149.000
2,1235.500,1448.000,212.500,-32.900,187.800,274.800
4,1415.100,1556.100,141.000,45.200,179.600,108.100
0,1601.300,1742.800,141.500,15.300,186.200,186.700
3,1758.100,1868.000,109.900,88.400,156.800,125.200
2,1956.400,2055.300,98.900,19.800,198.300,187.300
0,2075.100,2130.800,55.700,94.300,118.700,75.500
0,2225.100,2377.400,152.300,-27.500,150.000,246.600
3,2349.900,2442.900,93.000,100.200,124.800,65.500
.,2543.100,2749.900,206.800,0,193.200,307.000
