key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,733.900,848.400,114.500,126.800,0,0
a,975.200,1106.000,130.800,10.000,241.300,257.600
j,1116.000,1239.900,123.900,54.700,140.800,133.900
2,1294.600,1516.700,222.100,-60.500,178.600,276.800
4,1456.200,1599.400,143.200,57.800,161.600,82.700
0,1657.200,1787.700,130.500,28.500,201.000,188.300
3,1816.200,1932.100,115.900,74.100,159.000,144.400
2,2006.200,2120.400,114.200,10.400,190.000,188.300
0,2130.800,2196.700,65.900,94.300,124.600,76.300
0,2291.000,2437.200,146.200,-9.600,160.200,240.500
3,2427.600,2529.400,101.800,48.300,136.600,92.200
.,2577.700,2719.500,141.800,0,150.100,190.100
