key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,690.800,794.300,103.500,121.800,0,0
a,916.100,1050.000,133.900,-8.600,225.300,255.700
j,1041.400,1162.800,121.400,61.700,125.300,112.800
2,1224.500,1452.200,227.700,-75.700,183.100,289.400
4,1376.500,1517.900,141.400,57.800,152.000,65.700
0,1575.700,1719.100,143.400,37.400,199.200,201.200
3,1756.500,1870.500,114.000,82.600,180.800,151.400
2,1953.100,2055.500,102.400,6.300,196.600,185.000
0,2061.800,2137.500,75.700,87.200,108.700,82.000
0,2224.700,2376.300,151.600,-32.600,162.900,238.800
3,2343.700,2453.800,110.100,73.800,119.000,77.500
.,2527.600,2664.200,136.600,0,183.900,210.400
