key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,670.700,779.900,109.200,97.500,0,0
a,877.400,1003.000,125.600,4.900,206.700,223.100
j,1007.900,1121.800,113.900,79.900,130.500,118.800
2,1201.700,1447.000,245.300,-87.500,193.800,325.200
4,1359.500,1501.700,142.200,20.200,157.800,54.700
0,1521.900,1653.200,131.300,27.200,162.400,151.500
3,1680.400,1789.300,108.900,84.800,158.500,136.100
2,1874.100,1976.300,102.200,-3.600,193.700,187.000
0,1972.700,2054.000,81.300,87.600,98.600,77.700
0,2141.600,2290.100,148.500,-7.800,168.900,236.100
3,2282.300,2375.900,93.600,44.000,140.700,85.800
.,2419.900,2568.500,148.600,0,137.600,192.600
