key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,810.600,914.300,103.700,132.900,0,0
a,1047.200,1179.900,132.700,-6.900,236.600,265.600
j,1173.000,1286.600,113.600,77.300,125.800,106.700
2,1363.900,1548.100,184.200,-10.100,190.900,261.500
4,1538.000,1683.700,145.700,71.300,174.100,135.600
0,1755.000,1902.900,147.900,27.900,217.000,219.200
3,1930.800,2045.200,114.400,79.200,175.800,142.300
2,2124.400,2236.100,111.700,-3.200,193.600,190.900
0,2232.900,2287.600,54.700,88.800,108.500,51.500
0,2376.400,2496.200,119.800,-7.600,143.500,208.600
3,2488.600,2587.900,99.300,143.100,112.200,91.700
.,2731.000,2879.100,148.100,0,242.400,291.200
