key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,677.000,774.900,97.900,155.700,0,0
a,930.600,1039.600,109.000,9.500,253.600,264.700
j,1049.100,1158.300,109.200,94.800,118.500,118.700
2,1253.100,1492.900,239.800,-71.400,204.000,334.600
4,1421.500,1545.600,124.100,74.100,168.400,52.700
0,1619.700,1761.700,142.000,4.800,198.200,216.100
3,1766.500,1881.300,114.800,84.400,146.800,119.600
2,1965.700,2070.200,104.500,22.700,199.200,188.900
0,2092.900,2163.900,71.000,100.100,127.200,93.700
0,2264.000,2384.700,120.700,-25.800,171.100,220.800
3,2358.900,2461.100,102.200,92.900,94.900,76.400
.,2554.000,2690.100,136.100,0,195.100,229.000
