key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,648.000,795.000,147.000,131.300,0,0
a,926.300,1076.600,150.300,-16.800,278.300,281.600
j,1059.800,1207.500,147.700,37.500,133.500,130.900
2,1245.000,1517.100,272.100,-87.700,185.200,309.600
4,1429.400,1587.800,158.400,75.100,184.400,70.700
0,1662.900,1811.200,148.300,30.800,233.500,223.400
3,1842.000,1977.500,135.500,90.500,179.100,166.300
2,2068.000,2160.300,92.300,-38.300,226.000,182.800
0,2122.000,2226.400,104.400,88.100,54.000,66.100
0,2314.500,2460.300,145.800,56.000,192.500,233.900
3,2516.300,2629.800,113.500,54.400,201.800,169.500
.,2684.200,2820.500,136.300,0,167.900,190.700
