key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,697.100,802.500,105.400,156.400,0,0
a,958.900,1079.700,120.800,-17.300,261.800,277.200
j,1062.400,1170.800,108.400,105.300,103.500,91.100
2,1276.100,1532.200,256.100,-86.700,213.700,361.400
4,1445.500,1590.800,145.300,54.200,169.400,58.600
0,1645.000,1764.800,119.800,49.700,199.500,174.000
3,1814.500,1923.200,108.700,95.000,169.500,158.400
2,2018.200,2112.200,94.000,4.700,203.700,189.000
0,2116.900,2176.600,59.700,101.900,98.700,64.400
0,2278.500,2394.100,115.600,10.100,161.600,217.500
3,2404.200,2495.800,91.600,350.700,125.700,101.700
.,2846.500,2955.500,109.000,0,442.300,459.700
