key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,733.400,836.300,102.900,125.900,0,0
a,962.200,1071.000,108.800,23.600,228.800,234.700
j,1094.600,1209.400,114.800,64.800,132.400,138.400
2,1274.200,1518.300,244.100,-82.900,179.600,308.900
4,1435.400,1588.500,153.100,55.800,161.200,70.200
0,1644.300,1791.400,147.100,28.400,208.900,202.900
3,1819.800,1934.400,114.600,76.100,175.500,143.000
2,2010.500,2120.600,110.100,-2.100,190.700,186.200
0,2118.500,2205.000,86.500,74.300,108.000,84.400
0,2279.300,2443.000,163.700,-28.300,160.800,238.000
3,2414.700,2518.600,103.900,127.000,135.400,75.600
.,2645.600,2793.200,147.600,0,230.900,274.600
