key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,670.600,757.900,87.300,157.300,0,0
a,915.200,1003.600,88.400,30.800,244.600,245.700
j,1034.400,1149.600,115.200,82.200,119.200,146.000
2,1231.800,1462.000,230.200,-46.100,197.400,312.400
4,1415.900,1547.400,131.500,26.200,184.100,85.400
0,1573.600,1721.000,147.400,16.800,157.700,173.600
3,1737.800,1846.000,108.200,86.600,164.200,125.000
2,1932.600,2037.600,105.000,-7.400,194.800,191.600
0,2030.200,2117.400,87.200,97.300,97.600,79.800
0,2214.700,2373.200,158.500,-7.300,184.500,255.800
3,2365.900,2476.300,110.400,114.800,151.200,103.100
.,2591.100,2748.200,157.100,0,225.200,271.900
