key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,712.900,806.000,93.100,134.600,0,0
a,940.600,1050.100,109.500,21.900,227.700,244.100
j,1072.000,1185.500,113.500,79.000,131.400,135.400
2,1264.500,1487.500,223.000,-70.900,192.500,302.000
4,1416.600,1575.900,159.300,67.400,152.100,88.400
0,1643.300,1778.600,135.300,23.200,226.700,202.700
3,1801.800,1915.200,113.400,82.900,158.500,136.600
2,1998.100,2101.100,103.000,15.900,196.300,185.900
0,2117.000,2177.500,60.500,108.400,118.900,76.400
0,2285.900,2401.400,115.500,14.400,168.900,223.900
3,2415.800,2521.100,105.300,73.600,129.900,119.700
.,2594.700,2731.200,136.500,0,178.900,210.100
