key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,705.600,787.000,81.400,159.700,0,0
a,946.700,1064.100,117.400,-2.700,241.100,277.100
j,1061.400,1186.000,124.600,72.900,114.700,121.900
2,1258.900,1513.600,254.700,-81.700,197.500,327.600
4,1431.900,1568.700,136.800,26.700,173.000,55.100
0,1595.400,1742.900,147.500,14.700,163.500,174.200
3,1757.600,1867.600,110.000,71.600,162.200,124.700
2,1939.200,2044.800,105.600,-8.000,181.600,177.200
0,2036.800,2119.600,82.800,73.300,97.600,74.800
0,2192.900,2338.900,146.000,-27.600,156.100,219.300
3,2311.300,2410.000,98.700,107.400,118.400,71.100
.,2517.400,2658.300,140.900,0,206.100,248.300
