key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,631.400,721.300,89.900,125.700,0,0
a,847.000,962.900,115.900,10.900,215.600,241.600
j,973.800,1071.200,97.400,83.100,126.800,108.300
2,1154.300,1382.900,228.600,-77.300,180.500,311.700
4,1305.600,1452.900,147.300,41.700,151.300,70.000
0,1494.600,1620.100,125.500,17.400,189.000,167.200
3,1637.500,1751.100,113.600,78.100,142.900,131.000
2,1829.200,1926.900,97.700,10.000,191.700,175.800
0,1936.900,2013.700,76.800,80.900,107.700,86.800
0,2094.600,2214.500,119.900,4.400,157.700,200.800
3,2218.900,2322.400,103.500,22.200,124.300,107.900
.,2344.600,2486.100,141.500,0,125.700,163.700
